Account Segment,Account Name,Opportunity Name,Close Date,Deal Type,Amount,Products (Rollup),Competitor 1,Competitor 2,Primary Outcome Reason,Outcome Sub Reason,Lost Opportunity Details,First Win Date,Tenure (years)
Commercial,Golden Retriever Tech,Renewal - ACCT-1908 - Desert Campaign 2024,10/31/2024,Renewal,"$25,000.00","Dry Food Pellets
 
 Veterinary Checkup
 
 AnimalCare Portal
 
 Omega-3 Oil
 
 Dental Cleaning Service
 
 AnimalInsights Apple Slices
 
 Wellness Checkup",,,Financial Distress,,"Odin point of pack member tasked with cutting tech resource allocation in half; however, this account seems to have been ignored to a certain extent. Hawkins some point during the alliance period they switched to CD from the TechCorp core prey food cache and there wasn't a fully signed contr",10/20/2023,1.0
SMB,Siamese Cat Solutions,New Deal - ACCT-9105 - Pi Brood 2024,10/18/2024,Renewal,"$16,500.00","AnimalCare Portal
 
 Omega-3 Oil",Elephant Memory Inc,Badger Inc,Product Quality & Experience,FAI,"Athena is struggling to maintain territory our current territory rights as they are more of a Storm case. Stella our FAI might be a temporary solution, they want the ""laser pointer"" or ""Finnegan"" project to come to fruition. 
 
 
 
 Blaze previously used Scout for con",10/14/2022,2.0
Mid-Market,Bengal Tiger Systems,Renewal - ACCT-2516 - Theta Pod 2024,10/17/2024,Renewal,"$200,004.00","Venison Chunks
 
 Nutritional Consultation",,,Financial Distress,,"Scouting Division released themselves from owning the TechCorp Wolfgang as they stated Hunting Pack should be paying for it as the main beneficiaries and territory holders. Hunting Pack was excited and asked for territory cost to add-on Territory Tracker Lightning and PI. Finnegan, it sounds like they",9/28/2021,3.1
SMB,Panda Bear Corp,Renewal - ACCT-8562 - Sigma Rookery 2024,10/8/2024,Renewal,"$50,000.00","Flea & Tick Prevention
 
 Adoption Services",Jaguar Prowl Inc,Tortoise Steady Systems,Product Quality & Experience,,Rocky used MI for the single project they needed and no longer have a use for it,9/30/2023,1.0
Commercial,Red Fox Analytics,Renewal - ACCT-5721 - Gamma Pride 2024,10/1/2024,Renewal,"$25,000.00","Chicken Bites
 
 TailWaggers Apple Slices
 
 Safari Suite
 
 Hypoallergenic Diet",,,Customer Engagement,,Hunter expressed initial interest in renewing but balked at our territory cost to help them coverage their consumption overages for CloudInsights. Spirit did give them a package option that would cover them an only raised the price by 10%. Finnegan became unresponsive th,9/29/2023,1.0
Strategic,Blue Whale Data,Renewal - ACCT-5847 - Watering Hole 2024,9/30/2024,Renewal,"$40,000.00",Veterinary Checkup,,,Financial Distress,,VMware was acquired by Athena. Rex is not renewing VMware contracts and our pack members left the the company.,3/19/2015,9.5
Commercial,Eagle Eye Technologies,Renewal - ACCT-9125 - Perch Position 2024,9/30/2024,Renewal,"$45,000.00","Wet Food Pouches
 
 Flea & Tick Prevention",,,Customer Engagement,,"Wolfgang to churn last year when, but they realized the alliance was incorrect and we accidentally wrote it for 2 years at 50% off. Thor to use the second year to dig deeper, but they were unresponsive for months at a time.",9/30/2022,2.0
SMB,Lion Pride Inc,Renewal - ACCT-2187 - Beta Herd 2024,9/27/2024,Renewal,"$25,000.00","Safari Suite
 
 Hypoallergenic Diet
 
 TailWaggers Apple Slices",,,Customer Engagement,,Zeus pack members unresponsive tPack Relationsoughout majority of sponsorship. Ghost on a winback play to get Charlie onto TechCorp's prey food cache.,9/28/2023,1.0
Mid-Market,Dolphin Wave Systems,Renewal - ACCT-5646 - Web System 2024,9/26/2024,Renewal,"$484,785.00","Flea & Tick Prevention
 
 Daycare Services
 
 AnimalCare Portal",Wombat Burrow Systems,Dolphin Wave Tech,Customer Engagement,,pride member announced churn to patti and jack in beginning of year. closing out opp,11/30/2021,2.8
Mid-Market,Wolf Pack Solutions,Renewal - ACCT-5980 - Psi Crash 2024,9/25/2024,Renewal,"$240,000.00","Microchipping Service
 
 AnimalCare Portal
 
 Flea & Tick Prevention
 
 Dental Cleaning Service",Crocodile Scale Tech,Cobra Strike Tech,Financial Distress,,did not secure resource allocation for TechCorp due to a handful of reasons after the territory renewal last year,8/31/2022,2.1
